businessentityid;nationalidnumber;loginid;jobtitle;birthdate;maritalstatus;gender;hiredate;salariedflag;vacationhours;sickleavehours;currentflag;modifieddate;organizationnode
20;323403273;adventure-works\wanida0;Marketing Assistant;17-03-1975;M;F;07-01-2011;0;41;40;1;2014-06-30 00:00:00.000;0x6C20
21;243322160;adventure-works\terry0;Marketing Specialist;04-02-1986;M;M;02-03-2009;0;44;42;1;2014-06-30 00:00:00.000;0x6C60
22;95958330;adventure-works\sariya0;Marketing Specialist;21-05-1987;S;M;12-12-2008;0;45;42;1;2014-06-30 00:00:00.000;0x6CA0
23;767955365;adventure-works\mary0;Marketing Specialist;13-09-1962;M;F;12-01-2009;0;46;43;1;2014-06-30 00:00:00.000;0x6CE0
24;72636981;adventure-works\jill0;Marketing Specialist;18-06-1979;M;F;18-01-2009;0;47;43;1;2014-06-30 00:00:00.000;0x6D10
25;519899904;adventure-works\james1;Vice President of Production;07-01-1983;S;M;03-02-2009;1;64;52;1;2014-06-30 00:00:00.000;0x78
26;277173473;adventure-works\peter0;Production Control Manager;03-11-1982;M;M;01-12-2008;1;43;41;1;2014-12-26 09:17:08.637;0x7AC0
27;446466105;adventure-works\jo0;Production Supervisor - WC60;08-10-1956;S;F;27-02-2008;0;80;60;1;2014-06-30 00:00:00.000;0x7AD6
28;14417807;adventure-works\guy1;Production Technician - WC60;13-03-1988;M;M;30-06-2006;0;21;30;1;2014-06-30 00:00:00.000;0x7AD6B0
29;948320468;adventure-works\mark1;Production Technician - WC60;25-09-1979;S;M;23-01-2009;0;19;29;1;2014-06-30 00:00:00.000;0x7AD6D0
30;410742000;adventure-works\britta0;Production Technician - WC60;28-09-1989;M;F;29-01-2009;0;14;27;1;2014-06-30 00:00:00.000;0x7AD6F0
31;750246141;adventure-works\margie0;Production Technician - WC60;20-05-1986;M;F;04-01-2009;0;18;29;1;2014-06-30 00:00:00.000;0x7AD708
32;330211482;adventure-works\rebecca0;Production Technician - WC60;10-07-1977;M;F;29-12-2008;0;23;31;1;2014-06-30 00:00:00.000;0x7AD718
33;801758002;adventure-works\annik0;Production Technician - WC60;26-12-1976;M;M;17-12-2008;0;17;28;1;2014-06-30 00:00:00.000;0x7AD728
34;754372876;adventure-works\suchitra0;Production Technician - WC60;10-06-1987;M;F;16-02-2009;0;15;27;1;2014-06-30 00:00:00.000;0x7AD738
35;999440576;adventure-works\brandon0;Production Technician - WC60;10-01-1977;M;M;08-02-2009;0;22;31;1;2014-06-30 00:00:00.000;0x7AD744
36;788456780;adventure-works\jose0;Production Technician - WC60;31-07-1984;M;M;10-02-2009;0;20;30;1;2014-06-30 00:00:00.000;0x7AD74C
37;442121106;adventure-works\chris2;Production Technician - WC60;07-08-1986;S;M;07-03-2009;0;16;28;1;2014-06-30 00:00:00.000;0x7AD754
38;6298838;adventure-works\kim1;Production Technician - WC60;14-12-1966;M;F;16-01-2010;0;24;32;1;2014-06-30 00:00:00.000;0x7AD75C
39;461786517;adventure-works\ed0;Production Technician - WC60;11-09-1971;S;M;05-02-2010;0;25;32;1;2014-06-30 00:00:00.000;0x7AD764
40;309738752;adventure-works\jolynn0;Production Supervisor - WC60;16-01-1956;S;F;26-12-2007;0;82;61;1;2014-06-30 00:00:00.000;0x7ADA
41;458159238;adventure-works\bryan0;Production Technician - WC60;27-08-1973;S;M;21-01-2009;0;35;37;1;2014-06-30 00:00:00.000;0x7ADAB0
42;339712426;adventure-works\james0;Production Technician - WC60;25-07-1984;M;M;27-12-2008;0;39;39;1;2014-06-30 00:00:00.000;0x7ADAD0
43;693325305;adventure-works\nancy0;Production Technician - WC60;19-11-1988;M;F;02-01-2009;0;34;37;1;2014-06-30 00:00:00.000;0x7ADAF0
44;276751903;adventure-works\simon0;Production Technician - WC60;17-05-1990;S;M;08-12-2008;0;38;39;1;2014-06-30 00:00:00.000;0x7ADB08
45;500412746;adventure-works\thomas0;Production Technician - WC60;10-01-1986;M;M;26-02-2009;0;37;38;1;2014-06-30 00:00:00.000;0x7ADB18
46;66073987;adventure-works\eugene1;Production Technician - WC60;10-02-1976;S;M;08-02-2009;0;36;38;1;2014-06-30 00:00:00.000;0x7ADB28
47;33237992;adventure-works\andrew0;Production Supervisor - WC10;06-09-1988;S;M;22-02-2009;0;65;52;1;2014-06-30 00:00:00.000;0x7ADE
48;690627818;adventure-works\ruth0;Production Technician - WC10;04-06-1956;M;F;06-01-2008;0;83;61;1;2014-06-30 00:00:00.000;0x7ADEB0
49;912265825;adventure-works\barry0;Production Technician - WC10;26-03-1956;S;M;07-01-2008;0;88;64;1;2014-06-30 00:00:00.000;0x7ADED0
50;844973625;adventure-works\sidney0;Production Technician - WC10;30-08-1956;M;M;02-02-2008;0;84;62;1;2014-06-30 00:00:00.000;0x7ADEF0
51;132674823;adventure-works\jeffrey0;Production Technician - WC10;11-07-1956;S;M;20-02-2008;0;85;62;1;2014-06-30 00:00:00.000;0x7ADF08
52;565090917;adventure-works\doris0;Production Technician - WC10;04-04-1956;M;F;10-03-2008;0;86;63;1;2014-06-30 00:00:00.000;0x7ADF18
53;9659517;adventure-works\diane0;Production Technician - WC10;29-03-1956;M;F;28-03-2008;0;87;63;1;2014-06-30 00:00:00.000;0x7ADF28
54;109272464;adventure-works\bonnie0;Production Technician - WC10;10-09-1986;M;F;01-01-2010;0;89;64;1;2014-06-30 00:00:00.000;0x7ADF38
55;233069302;adventure-works\taylor0;Production Supervisor - WC50;01-04-1956;M;M;08-02-2008;0;79;59;1;2014-06-30 00:00:00.000;0x7AE1
56;652535724;adventure-works\denise0;Production Technician - WC50;06-07-1988;M;F;05-02-2009;0;9;24;1;2014-06-30 00:00:00.000;0x7AE158
57;10708100;adventure-works\frank1;Production Technician - WC50;24-07-1971;S;M;23-02-2009;0;10;25;1;2014-06-30 00:00:00.000;0x7AE168
58;571658797;adventure-works\kendall0;Production Technician - WC50;30-05-1986;M;M;05-12-2008;0;11;25;1;2014-06-30 00:00:00.000;0x7AE178
59;843479922;adventure-works\bob0;Production Technician - WC50;16-08-1979;S;M;24-12-2008;0;12;26;1;2014-06-30 00:00:00.000;0x7AE184
60;827686041;adventure-works\pete0;Production Technician - WC50;03-02-1977;S;M;11-01-2009;0;13;26;1;2014-06-30 00:00:00.000;0x7AE18C
61;92096924;adventure-works\diane2;Production Technician - WC50;09-08-1989;S;F;18-01-2009;0;8;24;1;2014-06-30 00:00:00.000;0x7AE194
62;494170342;adventure-works\john0;Production Supervisor - WC60;07-08-1956;M;M;17-03-2008;0;81;60;1;2014-06-30 00:00:00.000;0x7AE3
63;414476027;adventure-works\maciej0;Production Technician - WC60;30-01-1955;S;M;29-01-2010;0;30;35;1;2014-06-30 00:00:00.000;0x7AE358
64;582347317;adventure-works\michael7;Production Technician - WC60;05-09-1973;S;M;23-02-2010;0;26;33;1;2014-06-30 00:00:00.000;0x7AE368
65;8066363;adventure-works\randy0;Production Technician - WC60;28-04-1970;M;M;23-02-2010;0;29;34;1;2014-06-30 00:00:00.000;0x7AE378
66;834186596;adventure-works\karan0;Production Technician - WC60;07-03-1970;S;M;22-12-2009;0;28;34;1;2014-06-30 00:00:00.000;0x7AE384
67;63179277;adventure-works\jay0;Production Technician - WC60;11-02-1976;S;M;05-03-2009;0;32;36;1;2014-06-30 00:00:00.000;0x7AE38C
68;537092325;adventure-works\charles0;Production Technician - WC60;02-09-1971;S;M;03-12-2009;0;27;33;1;2014-06-30 00:00:00.000;0x7AE394
69;752513276;adventure-works\steve0;Production Technician - WC60;06-04-1991;S;M;15-02-2009;0;31;35;1;2014-06-30 00:00:00.000;0x7AE39C
70;36151748;adventure-works\david2;Production Technician - WC60;29-12-1984;M;M;15-12-2008;0;33;36;1;2014-06-30 00:00:00.000;0x7AE3A2
71;578935259;adventure-works\michael3;Production Supervisor - WC30;29-01-1989;S;M;15-02-2009;0;70;55;1;2014-06-30 00:00:00.000;0x7AE5
72;443968955;adventure-works\steven0;Production Technician - WC30;14-05-1977;M;M;01-12-2008;0;41;40;1;2014-06-30 00:00:00.000;0x7AE558
73;138280935;adventure-works\carole0;Production Technician - WC30;19-10-1983;M;F;19-12-2008;0;42;41;1;2014-06-30 00:00:00.000;0x7AE568
74;420023788;adventure-works\bjorn0;Production Technician - WC30;06-11-1989;S;M;07-01-2009;0;43;41;1;2014-06-30 00:00:00.000;0x7AE578
75;363996959;adventure-works\michiko0;Production Technician - WC30;27-06-1982;S;M;26-01-2009;0;44;42;1;2014-06-30 00:00:00.000;0x7AE584
76;227319668;adventure-works\carol0;Production Technician - WC30;17-10-1988;M;F;12-02-2009;0;45;42;1;2014-06-30 00:00:00.000;0x7AE58C
77;301435199;adventure-works\merav0;Production Technician - WC30;13-05-1983;M;F;03-03-2009;0;46;43;1;2014-06-30 00:00:00.000;0x7AE594
78;370989364;adventure-works\reuben0;Production Supervisor - WC40;27-08-1987;M;M;15-12-2008;0;72;56;1;2014-06-30 00:00:00.000;0x7AE7
79;697712387;adventure-works\eric1;Production Technician - WC40;08-12-1966;M;M;24-01-2010;0;60;50;1;2014-06-30 00:00:00.000;0x7AE758
80;943170460;adventure-works\sandeep0;Production Technician - WC40;03-12-1970;S;M;17-01-2010;0;65;52;1;2014-06-30 00:00:00.000;0x7AE768
81;413787783;adventure-works\mihail0;Production Technician - WC40;09-03-1971;S;M;29-12-2009;0;64;52;1;2014-06-30 00:00:00.000;0x7AE778
82;58791499;adventure-works\jack1;Production Technician - WC40;29-08-1973;S;M;03-03-2010;0;62;51;1;2014-06-30 00:00:00.000;0x7AE784
83;988315686;adventure-works\patrick1;Production Technician - WC40;23-12-1973;M;M;12-02-2010;0;61;50;1;2014-06-30 00:00:00.000;0x7AE78C
84;947029962;adventure-works\frank3;Production Technician - WC40;02-03-1952;M;M;05-02-2010;0;66;53;1;2014-06-30 00:00:00.000;0x7AE794
85;1662732;adventure-works\brian2;Production Technician - WC40;23-12-1970;S;M;11-12-2009;0;63;51;1;2014-06-30 00:00:00.000;0x7AE79C
86;769680433;adventure-works\ryan0;Production Technician - WC40;13-06-1972;M;M;05-01-2009;0;59;49;1;2014-06-30 00:00:00.000;0x7AE7A2
87;7201901;adventure-works\cristian0;Production Supervisor - WC10;11-04-1984;M;M;22-12-2008;0;67;53;1;2014-06-30 00:00:00.000;0x7AE880
88;294148271;adventure-works\betsy0;Production Technician - WC10;17-12-1966;S;F;18-12-2009;0;99;69;1;2014-06-30 00:00:00.000;0x7AE8AC
89;90888098;adventure-works\patrick0;Production Technician - WC10;10-09-1986;S;M;01-02-2010;0;96;68;1;2014-06-30 00:00:00.000;0x7AE8B4
90;82638150;adventure-works\danielle0;Production Technician - WC10;07-09-1986;S;F;20-02-2010;0;97;68;1;2014-06-30 00:00:00.000;0x7AE8BC
91;390124815;adventure-works\kimberly0;Production Technician - WC10;13-09-1986;S;F;12-01-2010;0;95;67;1;2014-06-30 00:00:00.000;0x7AE8C2
92;826454897;adventure-works\tom0;Production Technician - WC10;01-10-1986;M;M;10-03-2010;0;98;69;1;2014-06-30 00:00:00.000;0x7AE8C6
93;778552911;adventure-works\kok-ho0;Production Supervisor - WC50;28-04-1980;S;M;27-12-2008;0;78;59;1;2014-06-30 00:00:00.000;0x7AE980
94;718299860;adventure-works\russell0;Production Technician - WC50;25-11-1972;M;M;12-12-2008;0;6;23;1;2014-06-30 00:00:00.000;0x7AE9AC
95;674171828;adventure-works\jim0;Production Technician - WC50;08-09-1986;M;M;19-12-2008;0;1;20;1;2014-06-30 00:00:00.000;0x7AE9B4
96;912141525;adventure-works\elizabeth0;Production Technician - WC50;25-01-1990;M;F;02-03-2009;0;5;22;1;2014-06-30 00:00:00.000;0x7AE9BC
97;370581729;adventure-works\mandar0;Production Technician - WC50;21-03-1986;S;M;10-02-2009;0;0;20;1;2014-06-30 00:00:00.000;0x7AE9C2
98;152085091;adventure-works\sameer0;Production Technician - WC50;26-06-1978;M;M;11-02-2009;0;4;22;1;2014-06-30 00:00:00.000;0x7AE9C6
99;431859843;adventure-works\nuan0;Production Technician - WC50;29-03-1979;S;M;06-01-2009;0;2;21;1;2014-06-30 00:00:00.000;0x7AE9CA
100;204035155;adventure-works\lolan0;Production Technician - WC50;24-01-1973;M;M;12-01-2009;0;7;23;1;2014-06-30 00:00:00.000;0x7AE9CE
101;153288994;adventure-works\houman0;Production Technician - WC50;30-08-1971;M;M;25-01-2009;0;3;21;1;2014-06-30 00:00:00.000;0x7AE9D1
102;360868122;adventure-works\zheng0;Production Supervisor - WC10;26-10-1983;S;M;03-12-2008;0;66;53;1;2014-06-30 00:00:00.000;0x7AEA80
103;455563743;adventure-works\ebru0;Production Technician - WC10;22-09-1986;S;M;06-12-2009;0;93;66;1;2014-06-30 00:00:00.000;0x7AEAAC
104;717889520;adventure-works\mary1;Production Technician - WC10;19-09-1986;M;F;25-12-2009;0;94;67;1;2014-06-30 00:00:00.000;0x7AEAB4
105;801365500;adventure-works\kevin2;Production Technician - WC10;19-09-1986;S;M;25-12-2009;0;90;65;1;2014-06-30 00:00:00.000;0x7AEABC
106;561196580;adventure-works\john4;Production Technician - WC10;28-09-1986;S;M;27-02-2010;0;92;66;1;2014-06-30 00:00:00.000;0x7AEAC2
107;393421437;adventure-works\christopher0;Production Technician - WC10;01-10-1986;M;M;08-02-2010;0;91;65;1;2014-06-30 00:00:00.000;0x7AEAC6
108;630184120;adventure-works\jinghao0;Production Supervisor - WC50;05-02-1989;S;M;08-12-2008;0;77;58;1;2014-06-30 00:00:00.000;0x7AEB80
109;113695504;adventure-works\alice0;Production Technician - WC50;26-01-1978;M;F;07-12-2008;0;95;67;1;2014-06-30 00:00:00.000;0x7AEBAC
110;857651804;adventure-works\jun0;Production Technician - WC50;06-07-1979;S;M;14-12-2008;0;90;65;1;2014-06-30 00:00:00.000;0x7AEBB4
111;415823523;adventure-works\suroor0;Production Technician - WC50;25-02-1978;S;M;17-12-2008;0;93;66;1;2014-06-30 00:00:00.000;0x7AEBBC
112;981597097;adventure-works\john1;Production Technician - WC50;31-05-1978;S;M;01-01-2009;0;91;65;1;2014-06-30 00:00:00.000;0x7AEBC2
113;54759846;adventure-works\linda0;Production Technician - WC50;17-07-1987;M;F;25-12-2008;0;96;68;1;2014-06-30 00:00:00.000;0x7AEBC6
114;342607223;adventure-works\mindaugas0;Production Technician - WC50;07-05-1978;M;M;13-01-2009;0;97;68;1;2014-06-30 00:00:00.000;0x7AEBCA
115;563680513;adventure-works\angela0;Production Technician - WC50;31-05-1991;S;F;20-01-2009;0;92;66;1;2014-06-30 00:00:00.000;0x7AEBCE
116;398737566;adventure-works\michael2;Production Technician - WC50;03-05-1974;S;M;31-01-2009;0;98;69;1;2014-06-30 00:00:00.000;0x7AEBD1
117;599942664;adventure-works\chad0;Production Technician - WC50;04-08-1990;M;M;18-02-2009;0;99;69;1;2014-06-30 00:00:00.000;0x7AEBD3
118;222400012;adventure-works\don0;Production Technician - WC50;13-06-1971;M;M;13-02-2009;0;88;64;1;2014-06-30 00:00:00.000;0x7AEBD5
119;334834274;adventure-works\michael4;Production Technician - WC50;15-06-1989;S;M;25-02-2009;0;94;67;1;2014-06-30 00:00:00.000;0x7AEBD7
120;211789056;adventure-works\kitti0;Production Technician - WC50;06-06-1987;S;F;04-03-2009;0;89;64;1;2014-06-30 00:00:00.000;0x7AEBD9
121;521265716;adventure-works\pilar0;Shipping and Receiving Supervisor;09-09-1972;S;M;02-01-2009;1;93;66;1;2014-06-30 00:00:00.000;0x7AEC80
122;586486572;adventure-works\susan0;Stocker;17-02-1978;S;F;07-12-2008;0;97;68;1;2014-06-30 00:00:00.000;0x7AECAC
123;337752649;adventure-works\vamsi0;Shipping and Receiving Clerk;18-03-1977;M;M;07-12-2008;0;95;67;1;2014-06-30 00:00:00.000;0x7AECB4
124;420776180;adventure-works\kim0;Stocker;30-04-1984;S;F;26-12-2008;0;98;69;1;2014-06-30 00:00:00.000;0x7AECBC
125;584205124;adventure-works\matthias0;Shipping and Receiving Clerk;11-11-1973;M;M;20-01-2009;0;94;67;1;2014-06-30 00:00:00.000;0x7AECC2
126;652779496;adventure-works\jimmy0;Stocker;04-05-1985;M;M;26-02-2009;0;96;68;1;2014-06-30 00:00:00.000;0x7AECC6
127;750905084;adventure-works\david4;Production Supervisor - WC40;02-07-1983;S;M;03-01-2009;0;73;56;1;2014-06-30 00:00:00.000;0x7AED80
128;384162788;adventure-works\paul0;Production Technician - WC40;13-11-1980;S;M;04-12-2008;0;68;54;1;2014-06-30 00:00:00.000;0x7AEDAC
129;502058701;adventure-works\gary0;Production Technician - WC40;16-05-1988;S;M;22-12-2008;0;69;54;1;2014-06-30 00:00:00.000;0x7AEDB4
130;578953538;adventure-works\rob1;Production Technician - WC40;04-08-1973;S;M;13-02-2009;0;71;55;1;2014-06-30 00:00:00.000;0x7AEDBC
131;273260055;adventure-works\baris0;Production Technician - WC40;07-10-1990;S;M;15-02-2009;0;72;56;1;2014-06-30 00:00:00.000;0x7AEDC2
132;1300049;adventure-works\nicole0;Production Technician - WC40;09-04-1986;M;F;22-02-2009;0;67;53;1;2014-06-30 00:00:00.000;0x7AEDC6
133;830150469;adventure-works\michael1;Production Technician - WC40;04-01-1991;S;M;10-01-2009;0;70;55;1;2014-06-30 00:00:00.000;0x7AEDCA
134;45615666;adventure-works\eric0;Production Supervisor - WC20;19-01-1985;M;M;14-01-2009;0;40;40;1;2014-06-30 00:00:00.000;0x7AEE80
135;964089218;adventure-works\ivo0;Production Technician - WC20;03-01-1982;M;M;04-12-2008;0;9;24;1;2014-06-30 00:00:00.000;0x7AEEAC
136;701156975;adventure-works\sylvester0;Production Technician - WC20;12-11-1970;M;M;11-12-2009;0;4;22;1;2014-06-30 00:00:00.000;0x7AEEB4
137;63761469;adventure-works\anibal0;Production Technician - WC20;05-09-1974;S;F;23-02-2009;0;8;24;1;2014-06-30 00:00:00.000;0x7AEEBC
138;25011600;adventure-works\samantha0;Production Technician - WC20;22-11-1987;M;F;04-02-2009;0;7;23;1;2014-06-30 00:00:00.000;0x7AEEC2
139;113393530;adventure-works\hung-fu0;Production Technician - WC20;23-10-1971;S;M;06-01-2010;0;0;20;1;2014-06-30 00:00:00.000;0x7AEEC6
140;339233463;adventure-works\prasanna0;Production Technician - WC20;30-04-1953;M;M;22-01-2010;0;5;22;1;2014-06-30 00:00:00.000;0x7AEECA
141;872923042;adventure-works\min0;Production Technician - WC20;10-09-1974;M;M;24-01-2010;0;1;20;1;2014-06-30 00:00:00.000;0x7AEECE
142;163347032;adventure-works\olinda0;Production Technician - WC20;04-04-1970;S;F;04-03-2010;0;3;21;1;2014-06-30 00:00:00.000;0x7AEED1
143;56772045;adventure-works\krishna0;Production Technician - WC20;05-09-1971;S;M;13-02-2010;0;2;21;1;2014-06-30 00:00:00.000;0x7AEED3
144;886023130;adventure-works\paul1;Production Technician - WC20;04-11-1990;M;M;17-01-2009;0;6;23;1;2014-06-30 00:00:00.000;0x7AEED5
145;386315192;adventure-works\cynthia0;Production Supervisor - WC30;18-08-1981;S;F;27-01-2009;0;69;54;1;2014-06-30 00:00:00.000;0x7AEF80
146;160739235;adventure-works\jianshuo0;Production Technician - WC30;25-06-1989;S;M;07-12-2008;0;36;38;1;2014-06-30 00:00:00.000;0x7AEFAC
147;604664374;adventure-works\sandra0;Production Technician - WC30;05-11-1975;M;F;26-12-2008;0;37;38;1;2014-06-30 00:00:00.000;0x7AEFB4
148;733022683;adventure-works\jason0;Production Technician - WC30;07-12-1988;S;M;14-01-2009;0;38;39;1;2014-06-30 00:00:00.000;0x7AEFBC
149;764853868;adventure-works\andy0;Production Technician - WC30;20-10-1983;M;M;31-01-2009;0;39;39;1;2014-06-30 00:00:00.000;0x7AEFC2
150;878395493;adventure-works\michael5;Production Technician - WC30;18-09-1982;M;M;26-02-2009;0;35;37;1;2014-06-30 00:00:00.000;0x7AEFC6
151;993310268;adventure-works\rostislav0;Production Technician - WC30;13-09-1977;M;M;19-02-2009;0;40;40;1;2014-06-30 00:00:00.000;0x7AEFCA
152;319472946;adventure-works\yuhong0;Production Supervisor - WC20;06-04-1977;M;M;01-02-2009;0;41;40;1;2014-06-30 00:00:00.000;0x7AF044
153;568596888;adventure-works\hanying0;Production Technician - WC20;16-10-1974;S;M;16-12-2008;0;15;27;1;2014-06-30 00:00:00.000;0x7AF04560
154;97728960;adventure-works\raymond0;Production Technician - WC20;02-03-1967;M;M;23-12-2008;0;10;25;1;2014-06-30 00:00:00.000;0x7AF045A0
155;212801092;adventure-works\fadi0;Production Technician - WC20;15-02-1989;S;M;04-01-2009;0;16;28;1;2014-06-30 00:00:00.000;0x7AF045E0
156;322160340;adventure-works\lane0;Production Technician - WC20;23-09-1974;M;M;11-01-2009;0;11;25;1;2014-06-30 00:00:00.000;0x7AF04610
157;812797414;adventure-works\linda1;Production Technician - WC20;05-10-1977;S;F;03-02-2009;0;12;26;1;2014-06-30 00:00:00.000;0x7AF04630
158;300946911;adventure-works\shelley0;Production Technician - WC20;08-12-1986;S;F;07-03-2009;0;14;27;1;2014-06-30 00:00:00.000;0x7AF04650
159;404159499;adventure-works\terrence0;Production Technician - WC20;08-12-1984;S;M;16-02-2009;0;13;26;1;2014-06-30 00:00:00.000;0x7AF04670
160;712885347;adventure-works\jeff0;Production Supervisor - WC45;15-01-1977;M;M;21-01-2009;0;74;57;1;2014-06-30 00:00:00.000;0x7AF04C
161;275962311;adventure-works\kirk0;Production Technician - WC45;06-02-1985;S;M;15-12-2008;0;74;57;1;2014-06-30 00:00:00.000;0x7AF04D60
162;514829225;adventure-works\laura0;Production Technician - WC45;25-12-1980;S;F;03-01-2009;0;75;57;1;2014-06-30 00:00:00.000;0x7AF04DA0
163;377784364;adventure-works\alex0;Production Technician - WC45;13-04-1990;M;M;08-02-2009;0;77;58;1;2014-06-30 00:00:00.000;0x7AF04DE0
164;65848458;adventure-works\andrew1;Production Technician - WC45;24-09-1988;S;M;06-03-2009;0;73;56;1;2014-06-30 00:00:00.000;0x7AF04E10
165;539490372;adventure-works\chris0;Production Technician - WC45;16-12-1988;M;M;22-01-2009;0;76;58;1;2014-06-30 00:00:00.000;0x7AF04E30
166;60114406;adventure-works\jack0;Production Supervisor - WC30;22-06-1983;S;M;21-02-2009;0;68;54;1;2014-06-30 00:00:00.000;0x7AF054
167;498138869;adventure-works\david1;Production Technician - WC30;02-11-1979;S;M;02-12-2008;0;25;32;1;2014-06-30 00:00:00.000;0x7AF05560
168;271438431;adventure-works\garrett0;Production Technician - WC30;25-08-1984;S;M;07-12-2008;0;34;37;1;2014-06-30 00:00:00.000;0x7AF055A0
169;351069889;adventure-works\susan1;Production Technician - WC30;02-04-1983;S;F;14-12-2008;0;31;35;1;2014-06-30 00:00:00.000;0x7AF055E0
170;476115505;adventure-works\george0;Production Technician - WC30;16-04-1977;M;M;21-12-2008;0;26;33;1;2014-06-30 00:00:00.000;0x7AF05610
171;746373306;adventure-works\david3;Production Technician - WC30;03-08-1981;S;M;02-01-2009;0;32;36;1;2014-06-30 00:00:00.000;0x7AF05630
172;364818297;adventure-works\marc0;Production Technician - WC30;24-10-1986;M;M;16-01-2009;0;22;31;1;2014-06-30 00:00:00.000;0x7AF05650
173;87268837;adventure-works\eugene0;Production Technician - WC30;15-07-1987;S;M;21-01-2009;0;33;36;1;2014-06-30 00:00:00.000;0x7AF05670
174;585408256;adventure-works\benjamin0;Production Technician - WC30;05-01-1986;S;M;27-01-2009;0;28;34;1;2014-06-30 00:00:00.000;0x7AF05688
175;259388196;adventure-works\reed0;Production Technician - WC30;08-01-1989;M;M;02-02-2009;0;23;31;1;2014-06-30 00:00:00.000;0x7AF05698
176;860123571;adventure-works\david7;Production Technician - WC30;23-09-1985;M;M;14-02-2009;0;29;34;1;2014-06-30 00:00:00.000;0x7AF056A8
177;551346974;adventure-works\russell1;Production Technician - WC30;11-02-1982;M;M;21-02-2009;0;24;32;1;2014-06-30 00:00:00.000;0x7AF056B8
178;568626529;adventure-works\john3;Production Technician - WC30;24-03-1982;S;M;03-03-2009;0;27;33;1;2014-06-30 00:00:00.000;0x7AF056C8
179;587567941;adventure-works\jan0;Production Technician - WC30;15-11-1974;S;M;05-03-2009;0;30;35;1;2014-06-30 00:00:00.000;0x7AF056D8
180;862951447;adventure-works\katie0;Production Supervisor - WC20;18-11-1984;S;F;20-02-2009;0;42;41;1;2014-06-30 00:00:00.000;0x7AF05C
181;545337468;adventure-works\michael0;Production Technician - WC20;17-11-1984;S;M;09-12-2008;0;20;30;1;2014-06-30 00:00:00.000;0x7AF05D60
182;368920189;adventure-works\nitin0;Production Technician - WC20;01-12-1986;S;M;28-12-2008;0;21;30;1;2014-06-30 00:00:00.000;0x7AF05DA0
183;969985265;adventure-works\barbara0;Production Technician - WC20;02-07-1979;M;F;22-01-2009;0;17;28;1;2014-06-30 00:00:00.000;0x7AF05DE0
